City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,ribeira grande,38.5167,-28.7,21.22,94,75,8.23,PT,1731361275
188,nikol'sk,53.7189,46.0712,-0.78,87,100,0.99,RU,1731361277
189,dzhangala,49.2167,50.3333,-1.72,59,27,3.27,KZ,1731361278
190,basco,20.4487,121.9702,26.56,88,100,10.12,PH,1731361279
191,kenner,29.9941,-90.2417,28.33,68,20,5.66,US,1731361187
192,pingliang,35.5392,106.6861,8.38,72,100,1.69,CN,1731361282
193,jieshi,22.8134,115.8257,21.91,84,91,3.97,CN,1731361283
194,saint-georges,12.0564,-61.7485,28.82,84,40,5.66,GD,1731361284
195,malanje,-9.5402,16.341,17.87,96,93,0.84,AO,1731361286
196,brookings,44.3114,-96.7984,6.77,65,0,3.6,US,1731361061
197,keetmanshoop,-26.5833,18.1333,21.51,17,0,1.54,NA,1731361288
198,isiro,2.7739,27.616,19.29,99,100,0.27,CD,1731361289
199,mar del plata,-38.0023,-57.5575,13.86,66,20,2.57,AR,1731361082
200,pacific grove,36.6177,-121.9166,12.06,94,75,5.14,US,1731361292
201,belmonte,-15.8631,-38.8828,23.65,88,10,3.23,BR,1731361221
202,bargaal,11.2864,51.0773,24.8,79,14,2.66,SO,1731361294
203,tofol,5.3248,163.0078,27.97,76,100,4.93,FM,1731361296
204,luderitz,-26.6481,15.1594,15.3,80,1,7.17,NA,1731361298
205,la paz,-16.5,-68.15,18.99,22,40,5.14,BO,1731361300
206,rakops,-21.0167,24.3333,22.96,65,99,1.72,BW,1731361301
207,taroa,8.7058,171.2275,28.61,71,77,3.73,MH,1731361302
208,turgen,43.4006,77.5933,2.46,72,95,2.07,KZ,1731361303
209,taltal,-25.4,-70.4833,18.1,78,29,2.5,CL,1731361306
210,greenville,35.6127,-77.3663,24.01,81,40,2.57,US,1731361043
211,north battleford,52.7834,-108.2847,3.05,87,100,9.26,CA,1731361308
212,suva,-18.1416,178.4415,27.71,74,75,4.12,FJ,1731361310
213,santana,-0.0583,-51.1817,31.1,70,20,4.63,BR,1731361054
214,jayrud,33.8074,36.7404,14.52,72,97,2.7,SY,1731361312
215,brownwood,31.7093,-98.9912,24.98,37,38,1.05,US,1731361313
216,alofi,-19.0595,-169.9187,22.94,94,75,4.63,NU,1731361315
217,manismata,-2.4667,111.0333,23.09,99,100,0.62,ID,1731361316
218,zyrya,40.3661,50.2917,12.05,74,88,6.13,AZ,1731361317
219,awjilah,29.1081,21.2869,19.87,38,97,3.7,LY,1731361318
220,san felipe,10.3399,-68.7425,23.51,93,87,1.81,VE,1731361320
221,ola,59.5833,151.2833,-12.92,74,100,5.76,RU,1731361321
222,sao joao da barra,-21.6403,-41.0511,24.05,75,0,7.15,BR,1731361322
223,lakatoro,-16.0999,167.4164,27.13,66,88,3.07,VU,1731361323
224,nar'yan-mar,67.6713,53.087,-7.04,98,96,0.64,RU,1731361325
225,kisi,9.0833,3.85,24.17,44,8,0.13,NG,1731361326
226,general pico,-35.6566,-63.7568,19.72,22,0,4.72,AR,1731361327
227,mahoba,25.2833,79.8667,21.62,49,0,2.23,IN,1731361329
228,qui nhon,13.7667,109.2333,24.89,81,100,3.22,VN,1731361330
229,remire-montjoly,4.9167,-52.2667,26.02,94,100,1.03,GF,1731361331
230,yanam,16.7333,82.2167,26.55,77,100,3.35,IN,1731361332
231,carnarvon,-24.8667,113.6333,20.07,68,16,9.06,AU,1731361334
232,mossel bay,-34.1831,22.146,15.96,88,8,3.25,ZA,1731361335
233,fukuecho,32.6881,128.8419,19.32,69,9,5.28,JP,1731361336
234,yellowknife,62.456,-114.3525,-6.99,96,100,8.23,CA,1731361337
235,la passe,45.5549,-0.8967,12.22,91,100,5.64,FR,1731361047
236,aasiaat,68.7098,-52.8699,-2.56,79,99,5.36,GL,1731361340
237,big spring,32.2504,-101.4787,24.25,30,0,0.89,US,1731361269
238,ugoofaaru,5.6667,73.0,27.95,67,28,1.84,MV,1731361343
239,kulhudhuffushi,6.6221,73.07,28.16,69,98,2.59,MV,1731361344
240,lompoc,34.6391,-120.4579,20.07,69,100,6.69,US,1731361345
241,volya,51.7651,39.5404,1.05,64,100,1.52,RU,1731361346
242,empangeni,-28.762,31.8933,19.17,89,100,1.19,ZA,1731361348
243,socorro,31.6546,-106.3033,24.56,17,20,1.54,US,1731361349
244,ponta delgada,37.7333,-25.6667,20.4,94,40,7.2,PT,1731361106
245,greymouth,-42.4667,171.2,14.18,55,64,2.4,NZ,1731361351
246,lagos,6.5833,3.75,25.22,89,5,1.29,NG,1731361353
247,funafuti,-8.5243,179.1942,31.0,70,75,5.14,TV,1731361354
248,puerto deseado,-47.7503,-65.8938,14.9,46,100,1.31,AR,1731361355
249,dalnegorsk,44.5604,135.5701,0.98,68,62,1.68,RU,1731361356
250,mwandiga,-4.83,29.6581,21.95,79,51,1.83,TZ,1731361359
251,sompeta,18.9333,84.6,23.82,68,97,3.3,IN,1731361360
252,peravurani,10.3,79.1833,24.47,77,78,4.34,IN,1731361361
253,kostomuksha,64.571,30.5767,-1.91,95,100,2.37,RU,1731361364
254,mugia,43.1041,-9.2179,14.95,80,17,10.45,ES,1731361482
255,taksimo,56.3444,114.8794,-15.95,90,89,0.22,RU,1731361483
256,tommot,58.9564,126.2925,-24.89,98,63,0.86,RU,1731361484
257,toliara,-23.35,43.6667,23.31,87,7,3.23,MG,1731361485
258,havre,49.5833,0.3333,8.87,87,20,5.14,FR,1731361487
259,tsiombe,-25.3,45.4833,22.79,85,83,2.38,MG,1731361488
260,murghob,38.1702,73.9667,-9.39,56,6,3.14,TJ,1731361490
261,atafu village,-8.5421,-172.5159,28.27,74,6,7.18,TK,1731361491
262,dapa,9.7594,126.0531,27.22,80,10,0.53,PH,1731361492
263,santa ana,33.7456,-117.8678,23.29,47,20,5.14,US,1731361494
264,kodiak,57.79,-152.4072,5.73,45,0,4.12,US,1731361397
265,anyang,36.0994,114.3289,11.63,76,6,1.96,CN,1731361496
266,hithadhoo,-0.6,73.0833,28.58,70,100,8.2,MV,1731361503
267,sinabang,2.4803,96.3801,25.74,86,100,2.46,ID,1731361155
268,lautoka,-17.6167,177.4667,27.92,57,20,2.06,FJ,1731361506
269,al qubbah,32.7616,22.2424,15.19,59,0,4.5,LY,1731361028
270,ishikawa,26.4233,127.8214,25.02,94,0,3.09,JP,1731361510
271,ternate,0.8,127.4,26.66,79,100,1.77,ID,1731361511
272,burang,30.25,81.1667,-2.92,71,26,2.48,CN,1731361513
273,porto cristo,39.5395,3.333,17.28,64,25,9.18,ES,1731361514
274,kingston,17.997,-76.7936,28.53,74,20,1.54,JM,1731361026
275,fale old settlement,-9.3852,-171.2468,28.98,64,3,8.07,TK,1731361014
276,arno,60.1167,18.6333,4.18,88,84,3.05,SE,1731361518
277,karatuzskoye,53.6072,92.8667,-1.49,89,100,2.02,RU,1731361519
278,lebu,-37.6167,-73.65,12.78,67,76,7.44,CL,1731361037
279,bandon,51.7469,-8.7425,8.77,89,26,1.06,IE,1731361523
280,balotra,25.8333,72.2333,24.98,35,23,3.15,IN,1731361524
281,tchamba,9.0333,1.4167,24.13,41,5,1.53,TG,1731361527
282,lubang,13.8584,120.124,28.43,79,66,6.58,PH,1731361528
283,pueblo nuevo,23.3833,-105.3833,20.69,36,7,2.62,MX,1731361529
284,acarau,-2.8856,-40.12,26.17,72,100,7.53,BR,1731361515
285,nuuk,64.1835,-51.7216,-1.66,80,100,2.06,GL,1731361532
286,tazovsky,67.4667,78.7,-24.18,96,95,5.58,RU,1731361533
287,maun,-19.9833,23.4167,20.98,100,75,1.54,BW,1731361534
288,chonchi,-42.6128,-73.8092,12.84,83,100,2.32,CL,1731361536
289,karyes,37.3,22.5,6.26,90,96,2.25,GR,1731361537
290,laurentides,46.4334,-74.9826,5.06,92,100,2.26,CA,1731361538
291,cidreira,-30.1811,-50.2056,20.82,85,61,5.32,BR,1731361539
